obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid,Colony,Date,Juv,Time of Day
,M. fort,unb,,1:00:00,1,0,0,0,0,,1,,Male,Munb,Chris,6/22/07,,PM
,D. mer,unb,,1:51:00,1,0,0,0,0,,1,,Unknown,Dunb,Norma-Jean,6/19/07,,AM
,D. mer,unb,,1:36:00,2,0,0,0,0,,1,,Unknown,Dunb,Norma-Jean,6/19/07,,AM
,D. mer,unb,,1:03:00,0,0,0,0,1,,0,,Unknown,Dunb,Norma-Jean,6/19/07,,AM
,D. mer,unb,,1:07:00,0,0,0,0,0,,0,,Unknown,Dunb,Norma-Jeean,6/19/07,,AM
,D. mer,??-s,,0:46:00,0,0,1,0,0,,0,,Unknown,D??-s,Rani,6/22/07,,AM
,D. mer,unb,,1:43:00,0,0,0,0,1,,0,,Unknown,Dunb,Rani,6/22/07,,AM
,D. mer,unb,,0:40:00,0,0,1,0,0,,0,,Unknown,Dunb,Rani,6/22/07,,AM
,D. mer,s-rb,,1:15:00,1,0,0,0,1,,1,,,Ds-rb,Rani,6/22/07,,AM
,D. mer,unb,,0:54:00,2,0,0,0,0,,1,,Unknown,Dunb,Rani,6/22/07,,AM
,D. mer,os-g,,1:28:00,0,0,0,0,2,,0,,Unknown,Dos-g,Rani,6/22/07,,AM
,D. mer,s-pp,,1:30:00,2,0,0,0,0,,0,,Unknown,Ds-pp,Rani,6/22/07,,AM
,D. mer,s-pb,,0:43:00,0,0,2,0,0,,0,,Unknown,Ds-pb,Rani,6/22/07,,AM
,D. mer,unb,,1:20:00,0,0,0,0,0,,0,,Unknown,Dunb,Rani,6/22/07,,AM
,D. mer,s-yw,,1:01:00,0,0,0,0,0,,0,,Unknown,Ds-yw,Chris,6/22/07,,PM
,D. mer,s-yw,,1:29:00,1,0,0,0,0,,1,,Unknown,Ds-yw,Chris,6/22/07,,PM
,Rheg,s-gp,,2:09:00,1,0,0,0,0,,1,,Male,Rs-gp,Chris,6/16/07,,AM
,Rheg,unb,,1:00:00,1,0,0,0,0,,1,,Male,Runb,Rani,6/22/07,,AM
,Rheg,s-wp,,2:57:00,4,0,0,0,0,,2,,Female,Rs-wp,Rani,6/22/07,,AM
,Rheg,s-gp,,3:01:00,0,0,0,0,0,,0,,Male,Rs-gp,Rani,6/22/07,,AM
,Rheg,s-gw,,0:57:00,0,0,0,0,0,,0,,Male,Rs-gw,Rani,6/22/07,,AM
,Rheg,s-gp,,1:39:00,2,0,0,0,0,,1,,Male,Rs-gp,Chris,6/22/07,,PM
,Rheg,s-gp,,1:18:00,5,0,0,0,1,,1,,Male,Rs-gp,Chris,6/22/07,,PM
,Rheg,s-gw,,1:10:00,2,0,0,0,0,,2,,Male,Rs-gw,Chris,6/22/07,,PM
,Rheg,s-??,,2:52:00,1,0,0,0,0,,1,,Male,Rs-??,Chris,6/22/07,,PM
,Rheg,s-gw,,1:29:00,1,0,0,0,0,,1,,Male,Rs-gw,Chris,6/22/07,,PM
,Rheg,s-gw,,1:17:00,1,0,0,0,0,,0,,Male,Rs-gw,Chris,6/22/07,,PM
,Rheg,s-gp,,1:11:00,1,0,0,0,1,,1,,Male,Rs-gp,Chris,6/22/07,,PM
,Rheg,s-gp,,1:19:00,1,0,0,0,0,,1,,Male,Rs-gp,Chris,6/22/07,,PM
,Rheg,py-s,,1:25:00,0,0,0,0,0,,0,,Female,Rpy-s,Chris,6/22/07,,PM
,Rheg,s-gp,,2:12:00,1,0,0,0,0,,1,,Male,Rs-gp,Chris,6/22/07,,PM
,Rheg,py-s,,2:08:00,5,0,0,0,0,,4,,Female,Rpy-s,Chris,6/22/07,,PM
,Rheg,s-gp,,3:09:00,5,0,0,0,0,,3,,Male,Rs-gp,Chris,6/22/07,,PM
,Rheg,s-gp,,1:46:00,1,0,0,0,0,,1,,Male,Rs-gp,Chris,6/22/07,,PM
,Rheg,s-gw,,1:59:00,1,1,0,0,0,Phleg,1,,Male,Rs-gw,Chris,6/22/07,,PM
,G. sal,s-gr,,0:54:00,1,1,0,0,0,Rheg (picking on tumor-girl),1,,Female,Gs-gr,Rani,6/22/07,,AM
,G. sal,s-gr,,2:14:00,0,0,0,0,0,,0,,Female,Gs-gr,Rani,6/22/07,,AM
,G. sal,s-gr,,0:43:00,1,0,0,0,0,,1,,Female,Gs-gr,Rani,6/22/07,,AM
,G. sal,unk,,1:03:00,1,0,0,0,0,,1,,Female,Gunk,Chris,6/22/07,,PM
,G. sal,s-yp,,1:56:00,1,0,0,0,0,,1,,Male,Gs-yp,Chris,6/22/07,,PM
,G. sal,s-yp,,1:54:00,0,0,0,0,0,,0,,Male,Gs-yp,Chris,6/22/07,,PM
,G. sal,s-yp,,1:01:00,0,0,0,0,0,,0,,Male,Gs-yp,Chris,6/22/07,,PM
,G. sal,s-yp,,1:14:00,0,1,0,0,0,Rheg,0,,Male,Gs-yp,Chris,6/22/07,,PM
,G. sal,s-yp,,1:45:00,1,0,0,0,0,,1,,Male,Gs-yp,Chris,6/22/07,,PM
,Phleg,unk,,1:34:00,0,0,0,0,0,,0,,Unknown,Punk,Rani,6/14/07,,AM
,Phleg,unk,,1:05:00,2,0,0,0,0,,2,,Unknown,Punk,Rani,6/14/07,,AM
,Phleg,r-ps,,2:59:00,2,0,2,1,0,gymno,2,,Unknown,Pr-ps,Rani,6/14/07,,AM
,Phleg,s-yp/r,,1:53:00,0,0,0,0,0,,0,,,Ps-yp/r,Rani,6/14/07,,AM
,Phleg,r-ps,,1:00:00,0,0,0,0,0,,0,,Unknown,Pr-ps,Rani,6/14/07,,AM
,Phleg,unk,,0:48:00,0,0,0,1,0,Rheg female,0,,Unknown,Punk,Rani,6/14/07,,AM
,Phleg,unb,,0:51:00,2,0,0,0,0,,1,,Unknown,Punb,Rani,6/15/07,,AM
,Phleg,unk,,1:08:00,0,0,0,0,0,,0,,Unknown,Punk,Rani,6/14/07,,AM
,Phleg,unb,,0:46:00,1,0,0,0,0,,0,,Unknown,Punb,Rani,6/15/07,,AM
,Phleg,unb,,1:15:00,4,0,0,0,0,,2,,Unknown,Punb,Rani,6/15/07,,AM
,Phleg,unb,,2:34:00,7,0,0,2,0,rheg py-s,1,,Unknown,Punb,Rani,6/15/07,,AM
,Phleg,unb,,2:26:00,3,0,0,2,0,Rheg,1,,Unknown,Punb,Rani,6/15/07,,AM
,Phleg,unb,,1:11:00,3,0,0,0,0,,1,,Unknown,Punb,Rani,6/15/07,,AM
,Phleg,unb,,0:36:00,2,0,0,0,0,,1,,Unknown,Punb,Rani,6/15/07,,AM
,Phleg,unb,,1:05:00,0,0,0,1,0,Rheg,0,,Unknown,Punb,Rani,6/15/07,,AM
,Phleg,unb,,1:08:00,3,0,0,0,0,,0,,Unknown,Punb,Rani,6/15/07,,AM
,Phleg,?-gs,,2:41:00,2,0,0,1,0,Rheg s-gw,1,,Unknown,P?-gs,Rani,6/15/07,,AM
,Phleg,unb,,1:29:00,0,0,0,0,0,,0,,Unknown,Punb,Rani,6/16/07,,AM
,Phleg,unb,,1:04:00,2,0,0,0,0,,2,,Unknown,Punb,Rani,6/16/07,,AM
,Phleg,unb,,1:39:00,6,0,0,0,0,,2,,Unknown,Punb,Rani,6/16/07,,AM
