obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid
010106Edw,Rheg,unb,1055:00:00,01:45:00,2,0,0,0,0,,2,CETP,Unknown,Runb
010106Edw,Phleg,s-bw,1042:00:00,02:15:00,0,0,0,0,0,,0,CETP,Unknown,Ps-bw
010106Edw,Phleg,s-bw,1047:00:00,02:15:00,2,0,0,0,0,CF,1,CETP,Unknown,Ps-bw
010108Gna,D. mer,r-sg,936:00:00,01:30:00,0,0,0,0,0,,0,CETP,Unknown,Dr-sg
010109Lab,D. mer,wp-s,1024:00:00,01:15:00,0,0,0,0,0,,0,CETP,Female,Dwp-s
001228Edw,Phleg,y-sr,951:00:00,01:00:00,1,0,0,0,0,,1,DRH,Unknown,Py-sr
001228Edw,D. mer,s-wb,1007:00:00,03:00:00,1,0,0,0,0,,1,DRH,Unknown,Ds-wb
001228Edw,Phleg,ob-s,1048:00:00,02:22:00,2,0,0,0,0,,2,DRH,Female,Pob-s
001230Edw,Phleg,s-bw,923:00:00,01:30:00,2,0,0,0,1,CF,2,DRH,Unknown,Ps-bw
001230Edw,Phleg,unb,931:00:00,01:00:00,1,0,0,0,0,,1,DRH,Unknown,Punb
010103Edw,Phleg,s-bw,1115:00:00,02:50:00,2,0,0,0,0,CF,1,DRH,Unknown,Ps-bw
010103Edw,Phleg,s-gw,1130:00:00,02:00:00,0,0,0,0,0,,0,DRH,Unknown,Ps-gw
010103Edw,M. fort,unb,1135:00:00,02:00:00,0,0,0,0,0,,0,DRH,Female,Munb
010103Edw,Phleg,s-bw,1140:00:00,02:56:00,0,0,0,0,0,,0,DRH,Unknown,Ps-bw
010103Edw,Phleg,s-gw,1148:00:00,03:22:00,4,0,0,0,1,"displ.mate, CF",4,DRH,Unknown,Ps-gw
010104Tit,D. mer,s-wb,848:00:00,03:00:00,3,0,0,0,0,only bird,2,DRH,Female,Ds-wb
010104Edw,Phleg,rr-s,950:00:00,01:00:00,1,0,0,0,0,,1,DRH,Unknown,Prr-s
010104Edw,Phleg,rr-s,1005:00:00,02:00:00,2,0,0,0,0,,1,DRH,Unknown,Prr-s
010104Edw,Phleg,rr-s,1020:00:00,02:30:00,0,0,0,0,0,,0,DRH,Unknown,Prr-s
010104Edw,Phleg,rr-s,1045:00:00,02:20:00,0,0,0,0,0,,0,DRH,Unknown,Prr-s
010108Lab,Rheg,gp-s,1125:00:00,02:00:00,0,0,0,0,0,,0,DRH,Female,Rgp-s
010108Lab,Rheg,by-s,1140:00:00,01:40:00,3,0,0,0,0,,2,DRH,Male,Rby-s
010108Lab,Rheg,y-sy,1150:00:00,01:00:00,3,0,0,0,0,juv,1,DRH,Unknown,Ry-sy
010109Edw,Phleg,s-bw,800:00:00,03:20:00,3,0,0,0,0,,2,DRH,Unknown,Ps-bw
010109Edw,Phleg,s-gw,816:00:00,03:30:00,5,0,0,0,0,,4,DRH,Unknown,Ps-gw
010109Edw,D. mer,unb,819:00:00,02:00:00,0,0,0,0,0,,0,DRH,Unknown,Dunb
010109Edw,Phleg,s-bw,824:00:00,04:00:00,1,0,0,0,0,,1,DRH,Unknown,Ps-bw
010109Edw,D. mer,r-sg,830:00:00,01:00:00,0,0,1,0,1,interact. w/  unb,0,DRH,Unknown,Dr-sg
