obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid
010203Izua,Rheg,r-sy,835:00:00,04:00:00,2,0,0,0,0,"juv, preening",1,DRH,Unknown,Rr-sy
010203Izub,Rheg,y-sy,938:00:00,02:40:00,3,0,1,0,0,"juv, displ. by unb male",3,DRH,Unknown,Ry-sy
010203Izub,Rheg,by-s,1048:00:00,02:20:00,1,0,0,0,0,,1,DRH,Male,Rby-s
010203Izub,Rheg,gp-s,1050:00:00,01:50:00,0,0,0,0,0,,0,DRH,Female,Rgp-s
010203Izub,D. mer,r-sg,1129:00:00,04:00:00,2,0,1,0,0,,2,DRH,Unknown,Dr-sg
010205Stu,D. mer,unb,948:00:00,03:20:00,1,0,0,0,0,,0,DRH,Unknown,Dunb
010205Stu,G. sal,s-by,958:00:00,04:00:00,2,0,0,0,0,,2,DRH,Male,Gs-by
010205Stu,G. sal,s-yp,1013:00:00,01:20:00,2,0,0,0,0,,2,DRH,Male,Gs-yp
010205Stu,G. sal,s-yp,1028:00:00,04:00:00,2,0,0,0,0,,1,DRH,Female,Gs-yp
010205Stu,D. mer,unb,1036:00:00,01:40:00,1,0,0,0,0,,0,DRH,Unknown,Dunb
010209Lab,D. mer,p-sp,1045:00:00,04:00:00,2,0,0,0,0,juv,0,DRH,Unknown,Dp-sp
010210Lab,G. sal,unb,1030:00:00,01:30:00,3,1,0,0,0,trumpeter,2,DRH,Male,Gunb
010210Lab,G. sal,y-sb,1105:00:00,01:00:00,1,0,0,0,0,,1,DRH,Female,Gy-sb
010123Tit,Rheg,unb,845:00:00,01:28:00,1,0,0,0,0,,1,KJS,Male,Runb
010123Tit,D. mer,s-wb,850:00:00,04:00:00,2,0,0,0,0,,0,KJS,Female,Ds-wb
010123Tit,M. fort,r-sg,854:00:00,01:00:00,0,0,0,0,0,,0,KJS,Male,Mr-sg
010124Tit,D. mer,s-wb,912:00:00,01:05:00,1,0,0,0,0,just arrived at swarm,1,KJS,Female,Ds-wb
010125Tit,Rheg,unb,740:00:00,02:35:00,2,0,0,0,0,,0,KJS,Male,Runb
010125Tit,Rheg,unb,912:00:00,04:00:00,1,0,0,0,0,,1,KJS,Male,Runb
010125Tit,G. sal,s-pp,846:00:00,02:10:00,3,0,0,0,0,,3,KJS,Female,Gs-pp
010125Tit,G. sal,pp-s,905:00:00,04:00:00,1,0,0,0,0,,0,KJS,Male,Gpp-s
010129Izu,D. mer,ps-x,1030:00:00,02:20:00,0,2,0,0,0,,0,KJS,Female,Dps-x
010129Izu,D. mer,unb,1103:00:00,04:00:00,4,0,0,0,0,dropped food once,2,KJS,Unknown,Dunb
010129Izu,M. fort,s-yr,1120:00:00,01:29:00,1,0,0,0,0,,1,KJS,Male,Ms-yr
010129Izu,Rheg,r-sy,1148:00:00,01:53:00,0,0,0,0,0,juv,0,KJS,Unknown,Rr-sy
010130Let,G. sal,bw-s,1025:00:00,03:20:00,2,0,0,0,0,,1,KJS,Female,Gbw-s
010130Let,G. sal,unb,1029:00:00,02:40:00,1,0,0,0,0,,0,KJS,Male,Gunb
010131Let,Phleg,s-by,916:00:00,03:30:00,0,0,0,0,0,,0,SKW,Female,Ps-by
010131Let,Phleg,fs-fg,938:00:00,01:45:00,0,0,0,0,0,,0,SKW,Male,Pfs-fg
010131Let,Phleg,fs-fg,950:00:00,04:00:00,1,0,0,0,0,,0,SKW,Male,Pfs-fg
010201Izu,Rheg,y-sy,1123:00:00,03:30:00,3,1,0,0,0,juv; D.mer,2,SKW,Unknown,Ry-sy
010202Lab,Phleg,so-b,955:00:00,02:30:00,2,0,0,0,1,/o-sr,0,SKW,Unknown,Pso-b
010202Lab,M. fort,s-yy,1018:00:00,04:00:00,1,0,0,0,0,,1,SKW,Male,Ms-yy
010202Lab,Phleg,so-b,1037:00:00,04:00:00,2,0,1,0,1,"Roo-s, Io-sr",0,SKW,Unknown,Pso-b
010202Lab,Phleg,o-sr,1046:00:00,04:00:00,10,0,1,0,0,Roo-s,6,SKW,Unknown,Po-sr
010202Lab,Phleg,oo-s,1056:00:00,03:00:00,3,0,0,0,0,,1,SKW,Unknown,Poo-s
010202Lab,Phleg,so-b,1106:00:00,04:00:00,3,0,0,0,1,alone,1,SKW,Unknown,Pso-b
010203Stu,D. mer,wp-s,803:00:00,01:15:00,0,0,0,0,0,,0,CETP,Female,Dwp-s
010205Let,Phleg,s-pg,800:00:00,03:50:00,0,0,0,0,0,,0,CETP,Male,Ps-pg
010206Izu,Rheg,r-sy,951:00:00,01:15:00,0,0,0,0,0,juv,0,CETP,Unknown,Rr-sy
010206Izu,Rheg,y-sy,927:00:00,03:00:00,3,1,0,1,0,"ID.mer, RD.mer (both p-sp juv)",1,CETP,Unknown,Ry-sy
010206Izu,Rheg,y-sy,843:00:00,03:30:00,5,0,0,1,0,G.sal yy-s,3,CETP,Unknown,Ry-sy
010206Izu,Rheg,unb,900:00:00,01:30:00,4,0,0,0,0,,1,CETP,Male,Runb
010206Izu,G. sal,yy-s,848:00:00,01:10:00,0,1,0,0,0,Rheg,0,CETP,Male,Gyy-s
010206Izu,D. mer,p-sp,816:00:00,05:00:00,6,1,0,0,1,Rheg,1,CETP,Unknown,Dp-sp
010206Izu,D. mer,p-sp,929:00:00,01:10:00,0,0,0,0,0,fed by mom rg-s,0,CETP,Unknown,Dp-sp
010205Izu,Rheg,unb,849:00:00,04:00:00,3,0,0,0,1,/y-sy,2,SKW,Male,Runb
010205Izu,Rheg,by-s,957:00:00,04:00:00,2,0,0,0,0,,1,SKW,Male,Rby-s
010205Izu,G. sal,rb-s,858:00:00,03:00:00,1,0,0,0,0,,1,SKW,Female,Grb-s
010207Lab,M. fort,b-sr,1134:00:00,03:00:00,3,0,0,0,0,juv,3,SKW,Unknown,Mb-sr
010207Lab,M. fort,unb,1137:00:00,02:30:00,0,0,0,2,0,/Myr.myo,0,SKW,Female,Munb
010131Stu,D. mer,unb,723:00:00,04:00:00,1,0,0,0,0,juv; wing begging,1,DRH,Unknown,Dunb
010131Stu,D. mer,unb,749:00:00,03:40:00,1,0,1,0,0,wp-s/,1,DRH,Unknown,Dunb
010131Stu,Phleg,b-rs,757:00:00,04:00:00,2,0,0,0,0,,1,DRH,Unknown,Pb-rs
010131Stu,D. mer,wp-s,808:00:00,01:00:00,0,0,0,0,0,,0,DRH,Female,Dwp-s
010131Stu,Phleg,ro-s,824:00:00,02:40:00,0,0,0,0,0,,0,DRH,Male,Pro-s
010201Stua,D. mer,wp-s,800:00:00,03:40:00,0,0,0,0,0,,0,DRH,Female,Dwp-s
010201Stua,D. mer,unb,821:00:00,01:30:00,1,0,0,0,0,juv; begging,0,DRH,Unknown,Dunb
010201Stua,M. fort,r-sg,834:00:00,02:10:00,0,0,0,0,0,,0,DRH,Male,Mr-sg
010201Stua,Phleg,ro-s,851:00:00,01:30:00,2,0,0,0,0,,2,DRH,Male,Pro-s
010131Stu,D. mer,unb,956:00:00,03:51:00,3,0,0,0,0,twice caught a leaf!,1,KJS,Unknown,Dunb
010202Izua,Rheg,gp-s,832:00:00,03:29:00,1,0,0,0,0,,1,KJS,Female,Rgp-s
010202Izub,D. mer,p-sp,1107:00:00,04:00:00,4,2,0,0,0,juv,3,KJS,Unknown,Dp-sp
010202Izub,Rheg,y-sy,1120:00:00,04:00:00,0,0,2,0,0,,0,KJS,Unknown,Ry-sy
010202Izub,Rheg,gp-s,1125:00:00,04:00:00,4,0,0,0,1,,4,KJS,Female,Rgp-s
010202Izub,Rheg,r-sy,1134:00:00,4:00:00,4,0,0,0,0,,2,KJS,Unknown,Rr-sy
010207Izu,Rheg,unb,730:00:00,00:51:00,1,0,0,0,0,,1,KJS,Male,Runb
010207Izu,Rheg,r-sy,739:00:00,03:39:00,3,0,2,0,0,,2,KJS,Unknown,Rr-sy
99102827Na,Rheg,s-yp,750:00:00,04:00:00,9,3,0,0,0,Phleg,3,SKW,Female,Rs-yp
99102827Na,Rheg,s-yr,750:00:00,04:00:00,6,0,0,0,1,D.mer,2,SKW,Male,Rs-yr
99102827Na,Rheg,unb,750:00:00,04:00:00,2,1,1,1,0,inters w/ D.mer,0,SKW,Male,Runb
99102827Na,Rheg,unb,750:00:00,04:00:00,4,0,1,0,0,,1,SKW,Male,Runb
99102827Na,Phleg,unb,750:00:00,03:08:00,5,0,0,1,0,Rheg,3,SKW,Unknown,Punb
99102827Na,Rheg,s-yr,750:00:00,04:00:00,2,1,0,0,0,M.fort,0,SKW,Male,Rs-yr
991104Peca,Rheg,s-wp,947:00:00,04:00:00,2,0,0,0,0,,2,SKW,Female,Rs-wp
991105Ago,Phleg,unb,1500:00:00,04:00:00,3,0,0,0,0,,1,SKW,Unknown,Punb
991105Ago,Phleg,unb,1500:00:00,04:00:00,2,0,0,0,0,,0,SKW,Unknown,Punb
991111Agoa,Rheg,gp-s,652:00:00,04:00:00,2,0,0,0,0,,0,CETP,Female,Rgp-s
991111Agoa,Rheg,gp-s,652:00:00,04:00:00,3,1,0,0,0,M.goeldii,0,CETP,Female,Rgp-s
