,obsid,species,duration,duration_seconds,attempts,Rinter,Rintra,Iinter,Iintra,Successes,Ind_Rinter,Ind_Rintra,Ind_Iinter,Ind_Iintra,Ind_Successes
586,070523JudyAM,G. sal,1:32:00,5520,3,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
587,070523JudyAM,G. sal,2:48:00,10080,3,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
588,070522JudyAM,G. sal,2:37:00,9420,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
589,070522JudyAM,G. sal,1:30:00,5400,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
590,070522JudyAM,G. sal,3:58:00,14280,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
591,070522JudyAM,G. sal,1:00:00,3600,0,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
592,070524LabbieAM,G. sal,1:10:00,4200,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
593,070524KathyAM,G. sal,1:59:00,7140,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
594,070611KathyAM,M. fort,0:44:00,2640,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
595,070611KathyAM,M. fort,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
596,070611KathyAM,M. fort,0:00:02,2,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
597,070611KathyAM,M. fort,0:00:02,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
598,070611KathyAM,M. fort,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
599,070611KathyAM,M. fort,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
600,070611KathyAM,M. fort,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
601,070611KathyAM,M. fort,0:00:01,1,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
602,070611KathyAM,M. fort,0:00:01,1,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
603,070611KathyAM,M. fort,0:00:01,1,0,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
604,070611KathyAM,M. fort,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
605,070611KathyAM,M. fort,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
606,070611KathyAM,M. fort,0:00:02,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
607,070611KathyAM,M. fort,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
608,070611KathyAM,M. fort,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
609,070609KathyAM,D. mer,0:00:01,1,1,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
610,070609KathyAM,D. mer,0:00:02,2,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
611,070609ElianaAM,D. mer,0:00:01,1,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
612,070609ElianaAM,D. mer,0:00:02,2,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
613,070609ElianaAM,D. mer,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
614,070611KathyAM,D. mer,0:00:04,4,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
615,070611KathyAM,D. mer,0:00:03,3,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
616,070611KathyAM,D. mer,0:00:01,1,0,1,0,1,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
617,070611KathyAM,D. mer,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
618,070611KathyAM,D. mer,0:00:02,2,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
619,070611KathyAM,D. mer,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
620,070611KathyAM,D. mer,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
621,070611ChrisAM,D. mer,0:00:04,4,3,0,0,1,1,1,FALSE,FALSE,TRUE,TRUE,TRUE
622,070611ChrisAM,D. mer,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
623,070611ChrisAM,D. mer,0:00:03,3,3,0,0,0,1,2,FALSE,FALSE,FALSE,TRUE,TRUE
624,070611ChrisAM,D. mer,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
625,070611ChrisAM,D. mer,0:00:02,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
626,070611ElianaAM,D. mer,0:00:03,3,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
627,070611ElianaAM,D. mer,0:00:01,1,1,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
628,070611ElianaAM,D. mer,0:00:02,2,4,0,1,0,0,3,FALSE,TRUE,FALSE,FALSE,TRUE
629,070611ElianaAM,D. mer,0:00:03,3,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
630,070611ElianaAM,D. mer,0:00:05,5,4,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
631,070611ElianaAM,D. mer,0:00:02,2,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
632,070611ElianaAM,D. mer,0:00:04,4,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
633,070611ElianaAM,D. mer,0:00:04,4,2,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
634,070611ElianaAM,D. mer,0:00:01,1,2,0,0,0,1,2,FALSE,FALSE,FALSE,TRUE,TRUE
635,070611ElianaAM,D. mer,0:00:03,3,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
636,070611ElianaAM,D. mer,0:00:02,2,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
637,070611ElianaAM,D. mer,0:00:01,1,4,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
638,070611ElianaAM,D. mer,0:00:03,3,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
639,070611ElianaAM,D. mer,0:00:04,4,3,0,1,0,1,2,FALSE,TRUE,FALSE,TRUE,TRUE
640,070611ElianaAM,D. mer,0:00:02,2,4,0,0,0,2,0,FALSE,FALSE,FALSE,TRUE,FALSE
641,070611ElianaAM,D. mer,0:00:02,2,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
642,070611ElianaAM,D. mer,0:00:02,2,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
643,070611KathyAM,D. mer,0:00:01,1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
644,070611KathyAM,D. mer,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
645,070609ElianaAM,Rheg,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
646,070609ElianaAM,Rheg,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
647,070609ElianaAM,Rheg,0:00:01,1,9,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
648,070611KathyAM,Rheg,0:00:02,2,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
649,070611KathyAM,Rheg,0:00:02,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
650,070611KathyAM,Rheg,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
651,070611KathyAM,Rheg,0:00:02,2,1,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
652,070611KathyAM,Rheg,0:00:01,1,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
653,070611KathyAM,Rheg,0:00:01,1,0,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
654,070611KathyAM,Rheg,0:00:01,1,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
655,070611KathyAM,Rheg,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
656,070611KathyAM,Rheg,0:00:01,1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
657,070611KathyAM,Rheg,0:00:02,2,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
658,070611ChrisAM,Rheg,0:00:01,1,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
659,070611ChrisAM,Rheg,0:00:01,1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
660,070611ChrisAM,Rheg,0:00:01,1,4,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
661,070611ChrisAM,Rheg,0:00:01,1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
662,070609KathyAM,Rheg,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
663,070611KathyAM,Rheg,0:00:03,3,9,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
664,070611KathyAM,Rheg,0:00:01,1,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
665,070611KathyAM,Rheg,0:00:01,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
666,070611KathyAM,Rheg,0:00:01,1,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
667,070611KathyAM,Rheg,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
668,070611KathyAM,Rheg,0:00:01,1,0,1,2,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
669,070611KathyAM,Rheg,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
670,070611KathyAM,Rheg,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
671,070611KathyAM,Rheg,0:00:01,1,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
672,070611KathyAM,Rheg,0:00:02,2,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
