"","X","obsid","species","duration","duration_minutes","duration_seconds","attempts","Rinter","Rintra","Iinter","Iintra","Successes","Ind_Rinter","Ind_Rintra","Ind_Iinter","Ind_Iintra","Ind_Successes"
"955",956,"070616RaniAM","D. mer","2:05:00",2.08333333333333,125,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"956",957,"070616RaniAM","D. mer","1:04:00",1.06666666666667,64,1,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"957",958,"070616RaniAM","D. mer","1:45:00",1.75,105,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"958",959,"070616RaniAM","D. mer","0:49:00",0.816666666666667,49,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"959",960,"070616RaniAM","D. mer","2:32:00",2.53333333333333,152,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"960",961,"070616ChrisAM","D. mer","1:08:00",1.13333333333333,68,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"961",962,"070616ChrisAM","D. mer","1:17:00",1.28333333333333,77,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"962",963,"070616ChrisAM","D. mer","1:03:00",1.05,63,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"963",964,"070616ChrisAM","D. mer","1:30:00",1.5,90,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"964",965,"070618KathyAM","D. mer","4:11:00",4.18333333333333,251,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"965",966,"070619NellyAM","D. mer","2:19:00",2.31666666666667,139,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"966",967,"070619NellyAM","D. mer","1:08:00",1.13333333333333,68,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"967",968,"070619NellyAM","D. mer","1:38:00",1.63333333333333,98,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"968",969,"070619Norma-JeanAM","D. mer","1:23:00",1.38333333333333,83,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"969",970,"070619Norma-JeanAM","D. mer","1:27:00",1.45,87,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"970",971,"070619Norma-JeanAM","D. mer","1:08:00",1.13333333333333,68,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"971",972,"070620ChrisAM","M. fort","1:11:00",1.18333333333333,71,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
"972",973,"070620ChrisAM","M. fort","3:06:00",3.1,186,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"973",974,"070620ChrisAM","M. fort","2:21:00",2.35,141,5,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"974",975,"070620ChrisAM","M. fort","3:45:00",3.75,225,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"975",976,"070620ChrisAM","M. fort","1:11:00",1.18333333333333,71,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"976",977,"070619KathyAM","D. mer","1:10:00",1.16666666666667,70,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"977",978,"070619KathyAM","D. mer","2:57:00",2.95,177,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"978",979,"070619ChrisAM","D. mer","2:00:00",2,120,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"979",980,"070619ChrisAM","D. mer","2:00:00",2,120,1,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
"980",981,"070619ChrisAM","D. mer","0:34:00",0.566666666666667,34,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"981",982,"070619ChrisAM","D. mer","1:24:00",1.4,84,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"982",983,"070619ChrisAM","D. mer","1:00:00",1,60,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"983",984,"070619ChrisAM","D. mer","2:33:00",2.55,153,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"984",985,"070619ChrisAM","D. mer","1:52:00",1.86666666666667,112,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"985",986,"070620RaniAM","D. mer","1:00:00",1,60,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
"986",987,"070620RaniAM","D. mer","1:07:00",1.11666666666667,67,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"987",988,"070621KathyAM","D. mer","2:42:00",2.7,162,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"988",989,"070621KathyAM","D. mer","1:07:00",1.11666666666667,67,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"989",990,"070615RaniPM","Rheg","1:13:00",1.21666666666667,73,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,TRUE
"990",991,"070616ChrisPM","Rheg","1:13:00",1.21666666666667,73,1,2,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
"991",992,"070616ChrisPM","Rheg","4:50:00",4.83333333333333,290,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"992",993,"070616ChrisPM","Rheg","3:45:00",3.75,225,2,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
"993",994,"070616ChrisPM","Rheg","2:33:00",2.55,153,3,1,0,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE
"994",995,"070616ChrisAM","Rheg","1:00:00",1,60,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"995",996,"070616ChrisAM","Rheg","1:00:00",1,60,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"996",997,"070618ChrisPM","Rheg","3:33:00",3.55,213,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"997",998,"070618ChrisPM","Rheg","2:20:00",2.33333333333333,140,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"998",999,"070618ChrisPM","Rheg","1:37:00",1.61666666666667,97,3,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
"999",1000,"070618ChrisPM","Rheg","1:43:00",1.71666666666667,103,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1000",1001,"070618ChrisPM","Rheg","1:47:00",1.78333333333333,107,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
"1001",1002,"070619NellyAM","Rheg","2:03:00",2.05,123,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1002",1003,"070619NellyAM","Rheg","3:26:00",3.43333333333333,206,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"1003",1004,"070619NellyAM","Rheg","2:46:00",2.76666666666667,166,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1004",1005,"070619NellyAM","Rheg","3:31:00",3.51666666666667,211,4,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,TRUE
"1005",1006,"070619NellyAM","Rheg","2:45:00",2.75,165,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1006",1007,"070619NellyAM","Rheg","2:42:00",2.7,162,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"1007",1008,"070618ChrisAM","Rheg","1:38:00",1.63333333333333,98,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
"1008",1009,"070619ChrisAM","Rheg","1:50:00",1.83333333333333,110,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1009",1010,"070619ChrisAM","Rheg","1:51:00",1.85,111,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
"1010",1011,"070619ChrisAM","Rheg","0:35:00",0.583333333333333,35,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1011",1012,"070619ChrisAM","Rheg","2:02:00",2.03333333333333,122,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1012",1013,"070619ChrisAM","Rheg","2:30:00",2.5,150,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1013",1014,"070619ChrisAM","Rheg","1:11:00",1.18333333333333,71,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1014",1015,"070619ChrisAM","Rheg","0:53:00",0.883333333333333,53,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1015",1016,"070619ChrisAM","Rheg","0:53:00",0.883333333333333,53,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1016",1017,"070619ChrisAM","Rheg","1:15:00",1.25,75,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1017",1018,"070620ChrisAM","Rheg","2:35:00",2.58333333333333,155,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1018",1019,"070620ChrisAM","Rheg","2:10:00",2.16666666666667,130,4,0,0,0,1,3,FALSE,FALSE,FALSE,TRUE,TRUE
"1019",1020,"070620ChrisAM","Rheg","3:33:00",3.55,213,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1020",1021,"070620ChrisAM","Rheg","4:02:00",4.03333333333333,242,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1021",1022,"070616RaniAM","G. sal","1:11:00",1.18333333333333,71,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1022",1023,"070616RaniAM","G. sal","1:05:00",1.08333333333333,65,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1023",1024,"070616RaniAM","G. sal","2:25:00",2.41666666666667,145,7,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"1024",1025,"070616RaniAM","G. sal","1:23:00",1.38333333333333,83,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1025",1026,"070616RaniAM","G. sal","1:29:00",1.48333333333333,89,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"1026",1027,"070616RaniAM","G. sal","2:40:00",2.66666666666667,160,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1027",1028,"070616RaniAM","G. sal","1:48:00",1.8,108,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1028",1029,"070616RaniAM","G. sal","2:17:00",2.28333333333333,137,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"1029",1030,"070616RaniAM","G. sal","0:44:00",0.733333333333333,44,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1030",1031,"070616RaniAM","G. sal","1:12:00",1.2,72,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1031",1032,"070616RaniAM","G. sal","0:56:00",0.933333333333333,56,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1032",1033,"070616RaniAM","G. sal","0:53:00",0.883333333333333,53,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1033",1034,"070616ChrisAM","G. sal","1:05:00",1.08333333333333,65,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1034",1035,"070616ChrisAM","G. sal","1:00:00",1,60,0,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"1035",1036,"070619NellyAM","G. sal","1:19:00",1.31666666666667,79,2,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
"1036",1037,"070619NellyAM","Rheg","1:14:00",1.23333333333333,74,4,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,TRUE
"1037",1038,"070619NellyAM","G. sal","2:15:00",2.25,135,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"1038",1039,"070619Norma-JeanAM","G. sal","1:07:00",1.11666666666667,67,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1039",1040,"070618ChrisAM","G. sal","1:35:00",1.58333333333333,95,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1040",1041,"070818ChrisAM","G. sal","1:15:00",1.25,75,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1041",1042,"070619ChrisAM","G. sal","2:41:00",2.68333333333333,161,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1042",1043,"070619ChrisAM","G. sal","1:00:00",1,60,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1043",1044,"070622ChrisAM","M. fort","2:14:00",2.23333333333333,134,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1044",1045,"070622ChrisPM","M. fort","1:03:00",1.05,63,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1045",1046,"070622ChrisPM","M. fort","1:27:00",1.45,87,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"1046",1047,"070622ChrisPM","M. fort","1:43:00",1.71666666666667,103,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1047",1048,"070622ChrisPM","M. fort","1:19:00",1.31666666666667,79,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"1048",1049,"070622ChrisPM","M. fort","4:30:00",4.5,270,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1049",1050,"070622ChrisPM","M. fort","3:54:00",3.9,234,5,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"1050",1051,"070622ChrisPM","M. fort","1:00:00",1,60,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1051",1052,"070619Norma-JeanAM","D. mer","1:51:00",1.85,111,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1052",1053,"070619Norma-JeanAM","D. mer","1:36:00",1.6,96,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1053",1054,"070619Norma-JeanAM","D. mer","1:03:00",1.05,63,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
"1054",1055,"070619Norma-JeanAM","D. mer","1:07:00",1.11666666666667,67,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1055",1056,"070622RaniAM","D. mer","0:46:00",0.766666666666667,46,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"1056",1057,"070622RaniAM","D. mer","1:43:00",1.71666666666667,103,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
"1057",1058,"070622RaniAM","D. mer","0:40:00",0.666666666666667,40,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"1058",1059,"070622RaniAM","D. mer","1:15:00",1.25,75,1,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
"1059",1060,"070622RaniAM","D. mer","0:54:00",0.9,54,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1060",1061,"070622RaniAM","D. mer","1:28:00",1.46666666666667,88,0,0,0,0,2,0,FALSE,FALSE,FALSE,TRUE,FALSE
"1061",1062,"070622RaniAM","D. mer","1:30:00",1.5,90,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1062",1063,"070622RaniAM","D. mer","0:43:00",0.716666666666667,43,0,0,2,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"1063",1064,"070622RaniAM","D. mer","1:20:00",1.33333333333333,80,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1064",1065,"070622ChrisPM","D. mer","1:01:00",1.01666666666667,61,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1065",1066,"070622ChrisPM","D. mer","1:29:00",1.48333333333333,89,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1066",1067,"070616ChrisAM","Rheg","2:09:00",2.15,129,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1067",1068,"070622RaniAM","Rheg","1:00:00",1,60,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1068",1069,"070622RaniAM","Rheg","2:57:00",2.95,177,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"1069",1070,"070622RaniAM","Rheg","3:01:00",3.01666666666667,181,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1070",1071,"070622RaniAM","Rheg","0:57:00",0.95,57,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1071",1072,"070622ChrisPM","Rheg","1:39:00",1.65,99,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1072",1073,"070622ChrisPM","Rheg","1:18:00",1.3,78,5,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
"1073",1074,"070622ChrisPM","Rheg","1:10:00",1.16666666666667,70,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"1074",1075,"070622ChrisPM","Rheg","2:52:00",2.86666666666667,172,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1075",1076,"070622ChrisPM","Rheg","1:29:00",1.48333333333333,89,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1076",1077,"070622ChrisPM","Rheg","1:17:00",1.28333333333333,77,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1077",1078,"070622ChrisPM","Rheg","1:11:00",1.18333333333333,71,1,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
"1078",1079,"070622ChrisPM","Rheg","1:19:00",1.31666666666667,79,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1079",1080,"070622ChrisPM","Rheg","1:25:00",1.41666666666667,85,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"1080",1081,"070622ChrisPM","Rheg","2:12:00",2.2,132,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"1081",1082,"070622ChrisPM","Rheg","2:08:00",2.13333333333333,128,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,TRUE
