"","obsid","species","duration","duration_seconds","attempts","Rinter","Rintra","Iinter","Iintra","Successes","Ind_Rinter","Ind_Rintra","Ind_Iinter","Ind_Iintra","Ind_Successes"
"606","070611ElianaAM","D. mer","1:12:00",72,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"607","070611ElianaAM","D. mer","1:15:00",75,1,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
"608","070611ElianaAM","D. mer","1:05:00",65,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"609","070611ElianaAM","D. mer","0:54:00",54,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"610","070611ElianaAM","D. mer","1:16:00",76,0,0,2,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"611","070523NellyAM","Phleg","1:00:00",60,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"612","070524LabbieAM","Phleg","2:23:00",143,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"613","070524LabbieAM","Phleg","2:05:00",125,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
"614","070524LabbieAM","Phleg","2:49:00",169,5,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,TRUE
"615","070524ElianaAM","Phleg","2:30:00",150,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"616","070524LabbieAM","Phleg","2:11:00",131,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"617","070524KathyAM","Phleg","0:40:00",40,0,0,1,0,1,0,FALSE,TRUE,FALSE,TRUE,FALSE
"618","070524KathyAM","Phleg","2:00:00",120,4,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
"619","070524KathyPM","Phleg","1:25:00",85,3,0,2,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"620","070524KathyPM","Phleg","4:43:00",283,15,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,TRUE
"621","070524KathyPM","Phleg","1:23:00",83,2,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"622","070524KathyPM","Phleg","1:30:00",90,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"623","070524KathyPM","Phleg","2:09:00",129,4,0,2,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
"624","070524KathyPM","Phleg","0:57:00",57,3,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
"625","070524KathyPM","Phleg","1:43:00",103,5,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"626","070524KathyPM","Phleg","2:49:00",169,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"627","070524KathyPM","Phleg","2:25:00",145,5,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"628","070524KathyPM","Phleg","2:53:00",173,6,0,1,0,2,0,FALSE,TRUE,FALSE,TRUE,FALSE
"629","070524KathyPM","Phleg","2:17:00",137,6,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
"630","070524KathyPM","Phleg","6:32:00",392,13,0,0,0,4,1,FALSE,FALSE,FALSE,TRUE,TRUE
"631","070524KathyPM","Phleg","2:25:00",145,2,0,0,0,2,0,FALSE,FALSE,FALSE,TRUE,FALSE
"632","070524KathyPM","Phleg","1:53:00",113,5,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"633","070526KathyAM","Phleg","1:00:00",60,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"634","070526KathyAM","Phleg","1:10:00",70,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
